"url","category"
"https://policy.un.org/policy-doc/33306","accountability"
"https://www.undocs.org/en/A/60/846/Add.6","accountability"
"https://www.undocs.org/en/A/64/640","accountability"
"https://www.undocs.org/en/A/71/729","accountability"
"https://www.undocs.org/en/A/72/492","accountability"
"https://www.undocs.org/en/A/72/492/Add.1","accountability"
"https://www.undocs.org/en/A/72/492/Add.2","accountability"
"https://www.undocs.org/en/A/72/773","accountability"
"https://www.undocs.org/en/A/73/688","accountability"
"https://www.undocs.org/en/A/75/804","accountability"
"https://www.undocs.org/en/A/RES/31/192","accountability"
"https://www.undocs.org/en/A/RES/60/248","accountability"
"https://www.undocs.org/en/A/RES/61/275","accountability"
"https://www.undocs.org/en/A/RES/64/259","accountability"
"https://policy.un.org/policy-doc/30426","accountability"
"https://policy.un.org/sites/policy.un.org/files/files/documents/2022/Jan/evaluation_administrative_instruction_-_guidelines.pdf","accountability"
"https://www.undocs.org/en/ST/SGB/2007/11/Amend.1","accountability"
"https://www.undocs.org/en/ST/IC/2016/25","accountability"
"https://www.undocs.org/en/ST/AI/149/REV.4","accountability"
"https://www.undocs.org/en/ST/AI/149/Rev.4/Amend.1","accountability"
"https://policy.un.org/policy-doc/30464","accountability"
"https://www.undocs.org/en/ST/SGB/2019/2","accountability"
"https://policy.un.org/policy-doc/30440","accountability"
"https://policy.un.org/sites/policy.un.org/files/files/documents/2022/May/enterprise_risk_management_and_internal_control.pdf","accountability"
"https://policy.un.org/policy-doc/30458","accountability"
"https://www.undocs.org/en/ST/SGB/2005/22","accountability"
"https://policy.un.org/policy-doc/30467","accountability"
"https://www.undocs.org/en/ST/AI/2021/3","accountability"
"https://www.undocs.org/en/ST/SGB/2013/4","accountability"
"https://www.undocs.org/en/ST/SGB/2013/4/Amend.1","accountability"
"https://www.undocs.org/en/ST/AI/342","accountability"
"https://www.undocs.org/en/ST/AI/2015/4","accountability"
"https://www.undocs.org/en/ST/SGB/2013/2","accountability"
"https://www.undocs.org/en/A/60/312","accountability"
"https://www.undocs.org/en/A/60/312","accountability"
"https://www.undocs.org/en/A/60/312","accountability"
"https://www.undocs.org/en/A/60/312","accountability"
"https://www.undocs.org/en/ST/SGB/2002/7","accountability"
"https://www.undocs.org/en/ST/AI/2000/13","accountability"
"https://www.undocs.org/en/ST/IC/2006/30","accountability"
"https://policy.un.org/policy-doc/30461","accountability"
"https://policy.un.org/policy-doc/30452","accountability"
"https://www.undocs.org/en/ST/AI/2021/4","accountability"
"https://www.undocs.org/en/ST/AI/2003/4","accountability"
"https://www.undocs.org/en/ST/AI/401","accountability"
"https://www.undocs.org/en/ST/SGB/2006/15","accountability"
